iter	Passed	Remaining
0	8	7995
1	11	5839
2	15	5237
3	19	4787
4	23	4762
5	28	4678
6	32	4606
7	36	4467
8	40	4433
9	43	4344
10	47	4310
11	51	4268
12	55	4229
13	59	4168
14	62	4130
15	66	4104
16	70	4092
17	74	4065
18	78	4045
19	81	4009
20	85	4006
21	89	3976
22	93	3958
23	96	3937
24	100	3922
25	104	3922
26	108	3911
27	112	3900
28	115	3880
29	119	3864
30	123	3861
31	127	3848
32	131	3853
33	135	3841
34	139	3833
35	142	3814
36	146	3814
37	150	3805
38	154	3804
39	157	3790
40	161	3776
41	165	3764
42	168	3757
43	172	3742
44	175	3729
45	179	3725
46	183	3711
47	186	3703
48	191	3708
49	194	3704
50	198	3694
51	202	3688
52	207	3704
53	212	3728
54	216	3722
55	222	3746
56	226	3739
57	229	3725
58	233	3720
59	238	3739
60	242	3734
61	246	3728
62	251	3747
63	256	3749
64	260	3743
65	264	3738
66	268	3736
67	271	3725
68	275	3715
69	278	3700
70	282	3692
71	285	3684
72	289	3673
73	292	3662
74	296	3651
75	299	3645
76	303	3640
77	307	3633
78	310	3624
79	314	3620
80	318	3615
81	322	3609
82	326	3603
83	329	3593
84	333	3589
85	337	3584
86	341	3581
87	344	3570
88	348	3563
89	351	3555
90	355	3548
91	358	3541
92	362	3534
93	366	3529
94	370	3526
95	373	3521
96	377	3514
97	381	3508
98	384	3502
99	388	3500
100	392	3497
101	396	3495
102	400	3488
103	404	3487
104	408	3485
105	413	3485
106	416	3479
107	420	3472
108	424	3466
109	427	3461
110	431	3455
111	434	3448
112	438	3443
113	442	3436
114	446	3433
115	449	3428
116	454	3428
117	458	3424
118	461	3418
119	465	3412
120	469	3411
121	473	3409
122	477	3406
123	481	3399
124	484	3394
125	488	3390
126	492	3382
127	495	3377
128	499	3371
129	503	3368
130	507	3367
131	512	3367
132	516	3367
133	520	3362
134	524	3357
135	528	3355
136	531	3350
137	535	3346
138	540	3345
139	543	3340
140	547	3336
141	551	3330
142	554	3325
143	558	3321
144	562	3315
145	565	3310
146	569	3305
147	573	3300
148	577	3298
149	580	3292
150	584	3287
151	588	3283
152	592	3278
153	596	3274
154	599	3269
155	604	3272
156	609	3273
157	613	3268
158	617	3265
159	620	3259
160	624	3256
161	628	3252
162	632	3248
163	636	3242
164	640	3239
165	643	3234
166	647	3229
167	651	3224
168	655	3221
169	659	3218
170	663	3214
171	667	3211
172	671	3207
173	675	3204
174	678	3200
175	682	3197
176	686	3193
177	690	3190
178	694	3186
179	698	3183
180	702	3180
181	707	3178
182	711	3175
183	714	3170
184	718	3167
185	723	3165
186	727	3162
187	731	3158
188	735	3153
189	739	3150
190	742	3146
191	746	3142
192	750	3140
193	754	3135
194	758	3130
195	762	3127
196	766	3123
197	770	3121
198	774	3118
199	778	3115
200	783	3113
201	788	3115
202	792	3113
203	797	3110
204	801	3109
205	807	3110
206	811	3108
207	815	3105
208	820	3103
209	824	3101
210	828	3098
211	832	3094
212	837	3092
213	841	3090
214	845	3086
215	849	3082
216	854	3083
217	858	3080
218	862	3076
219	866	3073
220	872	3073
221	876	3070
222	880	3067
223	884	3064
224	889	3062
225	893	3058
226	897	3055
227	902	3054
228	906	3053
229	910	3049
230	915	3047
231	920	3048
232	925	3045
233	929	3044
234	935	3044
235	940	3044
236	945	3043
237	950	3043
238	956	3044
239	961	3044
240	966	3045
241	972	3046
242	977	3045
243	983	3048
244	989	3050
245	995	3052
246	1002	3056
247	1009	3060
248	1014	3061
249	1022	3067
250	1028	3068
251	1035	3072
252	1041	3074
253	1047	3077
254	1053	3078
255	1059	3078
256	1065	3079
257	1070	3078
258	1076	3079
259	1082	3081
260	1088	3081
261	1094	3081
262	1100	3084
263	1107	3086
264	1112	3086
265	1119	3087
266	1126	3091
267	1133	3096
268	1140	3099
269	1148	3105
270	1156	3110
271	1163	3113
272	1169	3113
273	1175	3115
274	1186	3127
275	1193	3131
276	1200	3132
277	1207	3135
278	1214	3137
279	1220	3138
280	1227	3140
281	1233	3141
282	1239	3140
283	1246	3142
284	1252	3142
285	1258	3142
286	1264	3141
287	1270	3141
288	1276	3141
289	1284	3143
290	1291	3145
291	1297	3145
292	1303	3146
293	1310	3146
294	1316	3146
295	1322	3145
296	1328	3144
297	1334	3143
298	1341	3144
299	1347	3143
300	1352	3141
301	1359	3141
302	1364	3139
303	1371	3139
304	1376	3137
305	1381	3133
306	1388	3134
307	1394	3132
308	1400	3131
309	1406	3130
310	1412	3128
311	1417	3125
312	1423	3124
313	1428	3120
314	1433	3117
315	1439	3115
316	1444	3111
317	1449	3108
318	1455	3107
319	1460	3104
320	1466	3101
321	1472	3100
322	1477	3096
323	1482	3092
324	1487	3090
325	1492	3086
326	1497	3082
327	1502	3079
328	1507	3075
329	1512	3071
330	1518	3069
331	1523	3066
332	1529	3062
333	1534	3060
334	1539	3056
335	1544	3053
336	1550	3050
337	1555	3047
338	1560	3043
339	1566	3040
340	1571	3037
341	1577	3034
342	1582	3031
343	1588	3029
344	1594	3026
345	1599	3024
346	1604	3020
347	1609	3015
348	1614	3011
349	1620	3009
350	1625	3005
351	1631	3003
352	1636	2999
353	1641	2995
354	1645	2989
355	1650	2986
356	1656	2983
357	1661	2979
358	1666	2976
359	1671	2971
360	1676	2966
361	1680	2961
362	1685	2957
363	1690	2953
364	1695	2950
365	1701	2947
366	1705	2942
367	1710	2938
368	1716	2935
369	1721	2931
370	1726	2926
371	1731	2923
372	1737	2920
373	1741	2915
374	1746	2911
375	1752	2908
376	1757	2904
377	1764	2903
378	1770	2901
379	1776	2899
380	1784	2898
381	1790	2896
382	1798	2897
383	1805	2895
384	1810	2892
385	1818	2892
386	1824	2890
387	1831	2888
388	1837	2885
389	1843	2883
390	1849	2880
391	1854	2877
392	1860	2873
393	1866	2871
394	1872	2867
395	1879	2867
396	1885	2864
397	1893	2863
398	1900	2862
399	1907	2861
400	1914	2859
401	1919	2855
402	1926	2853
403	1932	2850
404	1937	2847
405	1944	2844
406	1949	2840
407	1955	2837
408	1960	2833
409	1966	2829
410	1972	2827
411	1977	2822
412	1983	2818
413	1989	2816
414	1995	2812
415	2000	2808
416	2006	2805
417	2013	2802
418	2018	2798
419	2023	2794
420	2028	2789
421	2033	2785
422	2038	2781
423	2043	2776
424	2048	2771
425	2053	2767
426	2058	2762
427	2063	2758
428	2069	2754
429	2075	2750
430	2080	2746
431	2085	2741
432	2091	2738
433	2096	2734
434	2102	2731
435	2108	2727
436	2113	2723
437	2119	2719
438	2124	2715
439	2130	2711
440	2136	2707
441	2141	2703
442	2147	2700
443	2153	2696
444	2158	2692
445	2163	2687
446	2169	2683
447	2174	2679
448	2179	2675
449	2186	2671
450	2192	2668
451	2197	2664
452	2204	2661
453	2209	2657
454	2215	2654
455	2221	2650
456	2226	2645
457	2233	2642
458	2238	2638
459	2243	2633
460	2249	2630
461	2255	2626
462	2260	2621
463	2266	2618
464	2272	2614
465	2277	2609
466	2283	2606
467	2289	2602
468	2294	2598
469	2300	2594
470	2306	2590
471	2311	2585
472	2317	2582
473	2322	2577
474	2328	2574
475	2334	2569
476	2339	2565
477	2344	2560
478	2350	2556
479	2355	2552
480	2360	2547
481	2367	2544
482	2372	2539
483	2377	2534
484	2384	2531
485	2389	2527
486	2395	2523
487	2400	2519
488	2406	2514
489	2411	2509
490	2417	2506
491	2423	2501
492	2428	2497
493	2433	2492
494	2438	2487
495	2443	2483
496	2448	2477
497	2453	2473
498	2459	2469
499	2463	2463
500	2468	2458
501	2473	2453
502	2478	2448
503	2483	2444
504	2488	2439
505	2494	2435
506	2499	2430
507	2503	2425
508	2509	2420
509	2514	2416
510	2520	2411
511	2525	2407
512	2531	2403
513	2536	2398
514	2541	2393
515	2547	2389
516	2552	2384
517	2557	2380
518	2563	2375
519	2568	2370
520	2573	2366
521	2579	2361
522	2585	2357
523	2591	2353
524	2596	2349
525	2600	2343
526	2606	2339
527	2612	2335
528	2617	2330
529	2623	2326
530	2629	2322
531	2634	2317
532	2640	2313
533	2645	2308
534	2649	2303
535	2655	2298
536	2660	2294
537	2665	2289
538	2671	2284
539	2675	2279
540	2680	2274
541	2684	2268
542	2690	2264
543	2695	2259
544	2700	2254
545	2705	2249
546	2711	2245
547	2715	2239
548	2721	2235
549	2726	2230
550	2731	2225
551	2736	2221
552	2741	2216
553	2746	2211
554	2751	2205
555	2755	2200
556	2760	2195
557	2765	2190
558	2770	2185
559	2775	2180
560	2780	2175
561	2785	2170
562	2790	2165
563	2796	2161
564	2802	2157
565	2808	2153
566	2813	2148
567	2819	2144
568	2823	2138
569	2828	2133
570	2834	2129
571	2839	2124
572	2845	2120
573	2851	2115
